demand_point_index,x_coordinate,y_coordinate,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,nearest_supply_index,nearest_supply_idx,2019_gap,2020_gap,2018_gap,2018_demand,2018_supply
14,14.5,0.5,0.41484812716816,0.793404323506844,1.17350924580241,2.42545207970283,5.33434174728064,7.51447951542036,12.6417137801061,15.1967728378999,20.4692560733896,23.2878195373785,27.8987388279665,24,24,,,10.469256073389602,20.4692560733896,10.0
15,15.5,0.5,0.487663756185614,0.980086934003282,1.47798605550962,3.68786487666534,5.44819980055158,9.80125269726355,11.5885389074854,17.098007863726,22.4834648667962,28.2596687112384,33.2389980543125,24,24,,,12.4834648667962,22.4834648667962,10.0
16,16.5,0.5,0.522983310473106,0.873165379687558,1.69849625335542,3.74887462452575,6.00635170584968,9.66088110622698,12.9321348418114,16.2992875812541,23.0403483042428,30.1095153158458,36.276113090482,57,57,,,17.0403483042428,23.0403483042428,6.0
17,17.5,0.5,0.418989024614757,0.959032970510121,1.54986542749558,3.62347073471372,5.67257003413722,9.32251011113468,12.1206321694197,15.9529083261309,22.2749725879616,28.2293055204684,33.875795491531,57,57,,,16.2749725879616,22.2749725879616,6.0
18,18.5,0.5,0.375079742156991,0.758787551068995,1.42574609208141,3.95587062895119,6.01991899860471,8.54299709464857,11.5141675956807,17.8355975452876,20.1175287554677,23.9134184198022,26.5961197993378,60,60,,,15.1175287554677,20.1175287554677,5.0
19,19.5,0.5,0.339077223106966,0.742505802386235,1.27792685838685,3.73541977630122,5.40935301504064,8.33480343951313,11.2974458111824,16.620368658205,18.328206470825,21.2611606219751,22.4007779240831,60,60,,,13.328206470824998,18.328206470825,5.0
20,20.5,0.5,0.316241496331751,0.750553459520647,1.2929599786226,3.8351992136355,5.35625825120967,8.96836129871002,10.3751751790587,19.2936536104853,19.8694758475136,27.0230537454972,27.9785291032115,60,60,,,14.869475847513598,19.8694758475136,5.0
21,21.5,0.5,0.395089958013302,0.714790282470489,1.25678953799779,2.82687305650787,4.99444179612309,8.83465443997935,12.1869523795214,20.0164646588985,18.8729223702988,23.7927066910711,23.2121914599115,60,60,,,13.872922370298799,18.8729223702988,5.0
22,22.5,0.5,0.392275475074607,0.806206246158007,1.36926607720717,3.07120384293559,5.152478844397,9.10768650221134,12.3211868565871,19.5068042281796,22.0137065188707,27.4922220474738,29.8479932094242,60,60,,,17.0137065188707,22.0137065188707,5.0
23,23.5,0.5,0.390261726840366,0.785290086456716,1.10284919560436,3.08245940459094,5.91319409817542,9.69066372714744,12.620054509318,20.4786375347309,21.7823971688778,27.4721109561805,29.1130037232526,60,60,,,16.7823971688778,21.7823971688778,5.0
24,24.5,0.5,0.417676298534327,0.689809908653605,1.06451040553621,2.85229765450249,5.37561148695207,9.20354948995506,12.970358495753,16.7897501972319,21.2346035504306,25.7228893296538,30.123621238432,74,74,,,17.2346035504306,21.2346035504306,4.0
25,25.5,0.5,0.366313204633437,0.745926323072324,1.26088964960282,2.90676881731353,5.42563401420638,8.79607488877097,11.9832981428691,18.6026151944693,17.6965454178435,21.6202571291043,21.449502958081,74,74,,,13.696545417843499,17.6965454178435,4.0
26,26.5,0.5,0.454909859452372,0.833537131451672,1.16236450780051,3.12102873288315,5.08976649115963,7.35315211114225,9.97098225121377,15.0825891316378,18.3155054007846,21.8110903484473,24.4031220107786,74,74,,,14.315505400784598,18.3155054007846,4.0
27,27.5,0.5,0.455642949554137,0.787137038922986,1.21472810008167,3.33343397273118,5.30733622073864,7.44631559837568,10.3900502479475,15.4335549470537,18.0870881382478,20.2605538855359,22.0120484581033,74,74,,,14.0870881382478,18.0870881382478,4.0
28,28.5,0.5,0.454991059389829,0.962177850922639,1.25828550835527,4.36606823458633,6.76342626063281,7.61398997445997,10.2791242012036,15.0210310943735,16.6231204422966,16.3309600569646,16.4244480062957,74,74,,,12.6231204422966,16.6231204422966,4.0
29,29.5,0.5,0.505456381559217,0.860671489387541,1.11140551660645,3.97792468068077,6.9106670496359,9.43155939635483,12.2830249859453,15.2289142130037,19.0166283483394,22.5065738965085,25.6460593151635,74,74,,,15.016628348339399,19.0166283483394,4.0
30,30.5,0.5,0.589459720608677,1.03903788359031,1.43699594221502,4.05294934672001,6.04189348871888,9.27740328914278,14.7743083693324,19.743713850073,23.3805742554428,26.2797117056228,28.9511678874959,74,74,,,19.3805742554428,23.3805742554428,4.0
31,31.5,0.5,0.721960494725385,1.57565428108828,1.57822399179411,4.47352334461119,7.78967170717587,11.1925943101018,16.2075554170562,26.08575748309,28.8465965526256,33.409727173446,36.8779886789822,74,74,,,24.8465965526256,28.8465965526256,4.0
32,32.5,0.5,0.7508436293005,1.66016248672582,1.72573213009389,5.05187727688268,8.30851960805546,14.1462224625059,20.325701092408,27.9584582799241,33.7138383694325,40.4041502559744,45.6549925834787,92,92,,,24.7138383694325,33.7138383694325,9.0
33,33.5,0.5,0.747967117810206,1.67784974206439,1.8389512983444,4.83869313027249,9.98125812674764,16.7516791525397,22.9921521955383,33.622145051137,38.9915148672193,45.737963319279,50.0878465317328,92,92,,,29.9915148672193,38.9915148672193,9.0
34,34.5,0.5,1.32553403949715,2.39153021225314,4.57946429137285,9.26715061747421,18.6676696672813,19.3195808816906,28.2748289986483,36.6299556462726,44.3595761091723,51.2860355562436,58.0145877673612,92,92,,,35.3595761091723,44.3595761091723,9.0
35,35.5,0.5,0.861825827294771,1.58675840949838,2.7439482350438,5.93708203862608,13.5086404875785,17.7757693089476,30.4059876605794,33.1055940496973,46.0347872384287,49.1403876076988,60.254098665051,92,92,,,37.0347872384287,46.0347872384287,9.0
36,36.5,0.5,0.841496302502433,1.72990222973567,2.93033542966775,6.09217805330633,14.7752494922071,22.2302815524174,29.4120456218706,37.49459329815,49.5345293893995,61.544910721163,72.6325846023683,92,92,,,40.5345293893995,49.5345293893995,9.0
37,37.5,0.5,0.809080791318455,1.54808499269209,2.74814057801253,6.60908984274431,14.2110626310796,21.0303422779232,27.2262231714007,31.0760194754773,47.9820087048008,57.0005727284919,66.6321086043027,92,92,,,38.9820087048008,47.9820087048008,9.0
38,38.5,0.5,0.773966152922268,1.65062323386268,2.72796880768843,6.9477424252579,16.0011208229564,23.2030200870308,30.2399662202572,32.5627858635496,50.1714141008381,55.9708626182489,65.5076659434305,76,76,,,44.1714141008381,50.1714141008381,6.0
39,39.5,0.5,1.15560277856558,2.15577929086546,3.35068013048837,8.49738853721456,17.1328322639825,21.2144600129085,29.4530392306677,33.5133355738525,51.7822180134046,59.3324044357093,73.8497528887361,76,76,,,45.7822180134046,51.7822180134046,6.0
40,40.5,0.5,2.23957710740202,3.84270359275786,6.86328639874411,17.2191175671363,32.8912245397813,44.4055518735005,55.2071531055355,63.8784976554111,91.9466601591408,114.042909729594,135.625944718812,76,76,,,85.9466601591408,91.9466601591408,6.0
41,41.5,0.5,2.11354593731214,4.35057563066954,6.89832855954809,16.7899113900933,24.6433734250979,37.4112927368449,51.1970442638649,61.3972703407845,74.8778952332597,86.4765821754436,98.028041636651,76,76,,,68.8778952332597,74.8778952332597,6.0
42,42.5,0.5,1.51639287780057,2.84539946965383,5.06779378577839,10.0883900421006,24.6469915600361,33.3946367111697,43.4128652258576,48.4166861929842,64.1269659090882,73.2812247258237,85.5918266232909,76,76,,,58.1269659090882,64.1269659090882,6.0
43,43.5,0.5,0.843202916635426,1.49806255556814,2.4106837087565,5.68995717550872,14.4375365943091,20.4893428370011,26.9045444221111,40.4740596586143,46.3455915226192,53.6568091032073,59.8590897471741,76,76,,,40.3455915226192,46.3455915226192,6.0
44,44.5,0.5,0.561731507410946,1.48085197998744,2.01587465483489,6.47595229209427,9.93376456546587,15.7896501590476,21.01603709054,31.6641067752679,35.5981987820563,42.7406056684906,45.7723123738461,76,76,,,29.5981987820563,35.5981987820563,6.0
45,45.5,0.5,0.479574689609772,1.22295548246246,2.43242079764631,6.15742079267131,11.0287364052967,11.9053723308872,18.3113926967551,25.3594345743584,28.4595961489433,30.9148317922538,32.2312693283638,76,76,,,22.4595961489433,28.4595961489433,6.0
46,46.5,0.5,0.453406090869482,1.17769797409121,2.32312413027147,5.4681014202256,10.6341714129857,13.2275549356454,17.4511883439157,25.4267146331273,28.7661708678869,29.1922749634297,30.0621146608396,76,76,,,22.7661708678869,28.7661708678869,6.0
47,47.5,0.5,0.662991888169738,1.55916807462906,2.0314432845196,6.74492397613609,12.2887985896141,15.4599750055588,26.2590180464823,36.2753735284756,40.7858059705137,44.4958597866576,46.8486073423063,76,76,,,34.7858059705137,40.7858059705137,6.0
48,48.5,0.5,0.726440021284387,1.54013516978613,2.37053192804664,6.17464417339299,14.6875154640637,20.5251847271437,27.790928023749,46.6711678462958,44.321731481406,54.9293904122248,57.4094095331174,10,10,,,38.321731481406,44.321731481406,6.0
49,49.5,0.5,0.726409579500425,1.43517518457834,2.24316967795302,6.38802914526026,14.1512550002421,19.5112534455096,26.2970690441297,37.9791778758864,40.3951335038388,38.9156927932165,39.5646048145134,10,10,,,34.3951335038388,40.3951335038388,6.0
50,50.5,0.5,1.59687691227344,3.25260823315363,4.75435384275294,11.1431818128913,23.2368363605959,26.4700146837024,38.0693757444217,40.9502289563057,55.8526988502694,59.7974309786444,71.5086432795733,10,10,,,49.8526988502694,55.8526988502694,6.0
51,51.5,0.5,2.24306258353032,3.85932760418009,5.79329862583458,15.9363763714755,25.8858489371882,38.2532920085935,47.739419185358,49.7229554589563,90.6814301177905,91.4771432368382,112.949048335521,10,10,,,84.6814301177905,90.6814301177905,6.0
52,52.5,0.5,3.30161287394797,5.22521982569539,11.6565773010398,26.3885819671404,37.7130281349294,59.4105523295555,73.9528399158354,98.5275810340366,124.05680838874,149.766285293856,173.740925507024,10,10,,,118.05680838874,124.05680838874,6.0
53,53.5,0.5,2.70396737383125,3.79476773614462,5.64060909138983,12.9988816700168,22.2669229374891,39.0559528169563,45.642945784602,49.0348645093099,65.5242679273924,77.9417057809828,85.7678721710197,10,10,,,59.5242679273924,65.5242679273924,6.0
54,54.5,0.5,2.55545485889455,4.45528933652508,7.15597956877057,16.0954985396187,28.2345911665112,44.1972280921466,53.8311896565921,69.6160402155803,82.4146975026878,96.6056935957953,107.626092961026,10,10,,,76.4146975026878,82.4146975026878,6.0
55,55.5,0.5,1.24882902033719,3.45396449609816,4.36656757663428,11.1577630204882,19.3320169621309,28.8439676420492,37.5122481898252,36.1450545591366,68.6988327849644,63.179098895875,83.6605119746854,10,10,,,62.6988327849644,68.6988327849644,6.0
56,56.5,0.5,1.35115900619239,3.05784114884058,4.67757871211162,13.1738746096424,23.0482902565783,35.7555801508583,43.3119617751797,49.6480721773711,80.4054219658082,112.249336600389,133.092034474137,10,10,,,74.4054219658082,80.4054219658082,6.0
57,57.5,0.5,0.600491473166153,1.5427286296244,2.33936413097013,8.9408945391929,17.0911738285904,24.5635840637358,31.4723328101903,38.2019066518617,55.5359040020903,73.1490870491376,87.4419158613924,10,10,,,49.5359040020903,55.5359040020903,6.0
58,58.5,0.5,0.46528846419498,1.06694412509163,1.79979601773137,6.28031181015264,13.693590940285,19.6404508533233,25.7482268544274,30.315740136209,43.2557403643593,54.9708022853611,65.5197819013938,10,10,,,37.2557403643593,43.2557403643593,6.0
59,59.5,0.5,0.539187009204415,1.10519455338966,1.9475917375636,5.40649745326902,13.9726333232374,19.0450687916435,27.8944532296799,29.4612128235131,44.8230836528625,47.6513714476254,59.9204206908871,10,10,,,38.8230836528625,44.8230836528625,6.0
60,60.5,0.5,0.821518435386955,1.90907152334297,3.46451114509539,6.90102886033706,13.3048790006683,16.1142388794329,21.8770014643331,31.0646253146294,38.2059902470279,44.5520027415891,49.8253527940192,10,10,,,32.2059902470279,38.2059902470279,6.0
61,61.5,0.5,0.55659940551099,0.965157896294394,1.99472998860485,5.78714931437146,10.1475109832541,13.5890774159651,17.7045296498309,25.9475935513188,32.0438427440151,36.9136531504862,41.2981041877761,10,10,,,26.0438427440151,32.0438427440151,6.0
62,62.5,0.5,0.427234881121135,1.01019125579362,1.66138068393912,4.7126281764052,10.6434560548179,13.6435641446539,18.9637693247138,25.3371931336539,34.2095964668007,42.0352381707666,49.704117511541,10,10,,,28.209596466800697,34.2095964668007,6.0
63,63.5,0.5,0.412468774634865,1.06675084669976,1.46682930086945,4.44185061609871,11.2843335689821,16.691635987535,20.854941120426,26.4109272454647,35.8244259303974,46.2185339167018,55.2389736489065,10,10,,,29.824425930397403,35.8244259303974,6.0
64,0.5,1.5,0.298466933671346,0.596061376473336,1.62849269604899,4.24428395084492,6.80998447320729,7.5722244270511,10.2141934528427,13.6854978617272,16.1995150551458,18.399799156362,20.0023590489124,88,88,,,11.1995150551458,16.1995150551458,5.0
65,1.5,1.5,0.270703896594704,0.583409530076848,1.10291846823508,2.38563754070733,4.25109895904145,6.57351291911894,7.76160552181136,10.8653452290619,13.3498771376749,15.993476064283,18.3269182328948,38,38,,,4.3498771376749,13.3498771376749,9.0
66,2.5,1.5,0.28583048432631,0.516462703642143,1.08267713742337,2.35738418778452,4.17919933347939,6.57033120271017,8.55860044589893,11.0897838337642,13.9259210837121,16.8151866063802,19.6826817246163,38,38,,,4.925921083712099,13.9259210837121,9.0
67,3.5,1.5,0.366458431160971,0.609658320788725,1.04305548955247,2.54822650059049,4.04711145422958,6.7647845480549,8.69508057164543,13.0492280916321,15.3750544860436,19.0922327571302,21.2820955613543,38,38,,,6.3750544860436005,15.3750544860436,9.0
68,4.5,1.5,0.40282898182968,0.717629570616786,1.11704655215956,2.64873552142615,4.44634194356496,7.16277861683651,9.41214815500039,12.7439447390036,16.1706401362646,19.8135786181238,23.0301307152641,38,38,,,7.170640136264598,16.1706401362646,9.0
69,5.5,1.5,0.40248706928199,0.735985881100381,1.23111571809805,2.69351053078832,5.17275514101233,7.10961105606908,10.9555396579191,12.8237753944152,14.839864738933,16.2856540663973,17.7887556852585,38,38,,,5.8398647389330005,14.839864738933,9.0
70,6.5,1.5,0.492455349706923,0.868210527792538,1.73610019663662,4.32487809229779,5.247061028619,9.41812342102373,13.5208873172432,15.9661276346295,22.0906142119353,25.5319832145721,29.9839180984399,38,38,,,13.0906142119353,22.0906142119353,9.0
71,7.5,1.5,0.564658309854567,1.04045325624786,2.22552170715244,5.15522434382104,8.08087359559185,12.1644132250186,17.1176710991166,22.2096404483953,30.8881161585463,40.2738104493595,48.6178057898395,38,38,,,21.8881161585463,30.8881161585463,9.0
72,8.5,1.5,0.771674485639471,1.15403289034628,2.6663600755565,5.94047339640998,11.0786832617617,16.7322623270124,19.9035534687247,23.2828486825388,29.8399657845852,36.9641319299244,43.0136694449492,38,38,,,20.8399657845852,29.8399657845852,9.0
73,9.5,1.5,0.446931927802609,0.816043777024978,1.7753352448887,4.74726578086267,6.6291276475527,11.3774364447038,15.0712821715439,22.880654825966,29.1703545117948,36.8174044851677,42.6473289099823,38,38,,,20.1703545117948,29.1703545117948,9.0
74,10.5,1.5,0.483481520729359,0.827918868728261,2.13357584208177,5.7957298009662,9.8916962326727,13.7709323680612,20.4571861502557,30.1963215038657,33.5256927584646,32.4252853471297,32.0299293423206,38,38,,,24.5256927584646,33.5256927584646,9.0
75,11.5,1.5,0.438554521156867,0.880833750620942,2.48456422543379,5.28940208964589,10.542685732186,12.6055278796025,18.8759330060538,24.8327594374991,28.9084152196617,33.2878184237137,37.1873894088803,38,38,,,19.9084152196617,28.9084152196617,9.0
76,12.5,1.5,0.461379995951999,1.01963233555438,1.86486488028104,4.19092440752496,6.89380699890249,10.9268210470893,15.4240648515196,23.4705139894189,27.417583360646,32.7757868202269,36.2028427005978,24,24,,,17.417583360646,27.417583360646,10.0
77,13.5,1.5,0.380905126885069,0.864409503760553,1.08567317525149,3.51342669692331,4.30183365135694,7.04806986490971,10.3583162602715,14.9499309327797,18.5416585226881,22.8475433656122,25.9586209442852,24,24,,,8.541658522688099,18.5416585226881,10.0
78,14.5,1.5,0.398436259610176,0.84997040793108,1.29086809768834,3.75119073602917,4.74505952181968,7.39922409622397,11.1932623836339,16.7133432186753,17.8290606271987,19.6190377447642,20.0214247763107,24,24,,,7.8290606271987,17.8290606271987,10.0
79,15.5,1.5,0.510804975987522,1.06450890501989,2.2068492869751,5.08265009714576,8.84948785240868,10.3852180451688,13.7633249463167,18.8105021722555,24.7018216177739,30.2648768874841,35.2480450901431,24,24,,,14.7018216177739,24.7018216177739,10.0
80,16.5,1.5,0.669454966420368,1.31341939579379,3.2085168541384,5.99673060263328,11.4910799193206,14.2741189951863,21.0878842870184,25.0656794179155,31.1609322402803,34.9715635257607,40.3363280385315,57,57,,,25.1609322402803,31.1609322402803,6.0
81,17.5,1.5,0.544680996099975,0.97099844236396,2.27209484802797,5.67869288610266,9.15930799689149,12.1848251750971,18.9489958357742,25.6807724742068,26.323768699092,24.0051616114691,22.4783810905779,57,57,,,20.323768699092,26.323768699092,6.0
82,18.5,1.5,0.525549494005009,1.01850943151104,2.23550928766746,5.32406756568564,9.32090380445803,11.8953351337386,16.3268469000149,25.9315296945816,24.7271884376523,29.6131487981324,31.8124383850669,57,57,,,18.7271884376523,24.7271884376523,6.0
83,19.5,1.5,0.394255519874257,0.817353386728532,1.59841432628145,5.34371078346026,7.0513899690249,10.5444928061622,13.1907594241456,21.6926396351931,23.0392552039665,29.228727706696,31.0170875617462,60,60,,,18.0392552039665,23.0392552039665,5.0
84,20.5,1.5,0.422964003583618,0.723039817267905,1.95284130285337,5.58180162171823,7.74409554421092,10.1286107880479,14.1012030179573,20.2987862177877,22.6040049867529,24.2542480510495,25.5101034575382,60,60,,,17.6040049867529,22.6040049867529,5.0
85,21.5,1.5,0.426982911974339,0.851009071061817,1.79722998416214,4.36433711536322,7.35848342740335,10.610551823084,13.1268257313554,22.6231260137318,24.6295535300946,30.9832595379552,34.0296510139282,60,60,,,19.6295535300946,24.6295535300946,5.0
86,22.5,1.5,0.442476386888237,0.82993430648485,1.6859938101072,3.97865899612767,6.68756472984358,10.2782640985284,14.012552223601,24.1522264641946,26.6608481045944,33.3939173680959,36.4843382278441,60,60,,,21.6608481045944,26.6608481045944,5.0
87,23.5,1.5,0.5561205331093,0.900306006672821,1.88525367745257,5.18139031840676,7.8720006639678,13.0499672221181,18.9699358160763,26.7495570623199,32.3461795650517,38.5056912712751,43.5004890593325,74,74,,,28.3461795650517,32.3461795650517,4.0
88,24.5,1.5,0.52556804061774,0.945048808998652,2.0572751722149,5.18897729245879,8.82575151793911,12.5347393083594,18.2619316894504,26.8943322900602,32.6484726750601,35.8980709758711,38.7360319351816,74,74,,,28.6484726750601,32.6484726750601,4.0
89,25.5,1.5,0.442776330951637,0.853839343674813,1.58734495122246,4.04410477636993,6.22971228402778,10.4389368153172,14.0054038645289,21.281017024728,22.8118848876375,27.8135886226884,29.136979604855,74,74,,,18.8118848876375,22.8118848876375,4.0
90,26.5,1.5,0.398475140419744,0.878834506059967,1.19186878224135,3.84502427952893,6.67234536570248,8.49747879668881,12.9224546365696,17.214590561238,21.1595267588075,24.9083083418157,27.9968659310485,74,74,,,17.1595267588075,21.1595267588075,4.0
91,27.5,1.5,0.476975913050294,0.79809400408515,1.2085902370509,3.1179391049289,6.08953510235918,8.23290914691308,12.4349229994147,16.717349468511,19.3308820287089,21.6911834743175,23.6072939532392,74,74,,,15.3308820287089,19.3308820287089,4.0
92,28.5,1.5,0.471732540395448,0.819880873177661,1.21432097951654,3.16610525849874,5.30086272511278,7.26131586178425,10.9773782846536,16.955202749097,18.9468975394501,19.0693425611855,19.4359923847743,74,74,,,14.9468975394501,18.9468975394501,4.0
93,29.5,1.5,0.515741253660073,0.908726762599719,1.23718349750872,3.85851575214798,5.53906156117469,7.5069955317352,11.0052176467184,16.8151257455699,20.1116268233039,23.4633484393732,25.8016609594829,74,74,,,16.1116268233039,20.1116268233039,4.0
94,30.5,1.5,0.514174556174387,0.974763534624783,1.22739083635902,3.88246406160835,6.81426603521236,8.35519567157891,14.945981303807,20.9315625628525,20.7796828370143,19.8834992183435,19.7416229244235,74,74,,,16.7796828370143,20.7796828370143,4.0
95,31.5,1.5,0.5521900480704,1.32441390988345,1.38974251069802,3.7318811680514,6.97674558248821,9.139446489548,17.1551439561624,24.7747891164193,28.8253895555103,32.285359980844,34.5932809651042,74,74,,,24.8253895555103,28.8253895555103,4.0
96,32.5,1.5,0.468704386469446,1.22328016766782,1.39485850423686,4.15769135261935,7.05966856584934,11.086497614054,15.9635488959893,22.5806111420664,24.89119707835,27.7329285595197,29.2543187780502,92,92,,,15.89119707835,24.89119707835,9.0
97,33.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92,92,,,-9.0,0.0,9.0
98,34.5,1.5,0.866173242369416,1.48041350782993,2.41794728658099,5.42482506480204,12.3809749366689,15.0715970268026,24.677903461646,34.1538145259536,47.5968152361209,58.1943610354086,69.8818968638976,92,92,,,38.5968152361209,47.5968152361209,9.0
99,35.5,1.5,1.35606310539395,2.49806353075657,4.79627139597785,11.4968571317333,19.7440481441519,28.3869214598078,37.271332608519,41.7934103198058,59.7801264190667,67.7857666392628,80.3303127048249,92,92,,,50.7801264190667,59.7801264190667,9.0
100,36.5,1.5,1.48048767281234,2.89502022837161,5.73223240875975,14.8386473394719,25.5537123229624,36.6187229788155,44.7626497210418,51.7226605812006,76.2796751108026,102.320228722416,121.586106418696,92,92,,,67.2796751108026,76.2796751108026,9.0
101,37.5,1.5,1.0576772610944,2.25215578189354,4.23555294707141,10.1193156658242,20.2316408430391,27.0131582247296,33.1553448601179,34.1542126399507,64.2007967100796,64.305229826461,78.0575205003164,92,92,,,55.2007967100796,64.2007967100796,9.0
102,38.5,1.5,1.33887742733678,2.52376626749718,4.21709022619678,14.0832995868259,25.3261886278105,35.3389185878754,39.7161448729713,45.6297557064881,76.7887291990708,114.822400257508,139.470835543902,92,92,,,67.7887291990708,76.7887291990708,9.0
103,39.5,1.5,1.68018072802789,2.81362365572269,4.65237349473968,13.6953698865896,20.478212406689,27.4923624936966,32.9893809420385,37.4818079403524,67.2991209342559,78.781568929418,90.7572877494765,76,76,,,61.299120934255896,67.2991209342559,6.0
104,40.5,1.5,2.3931562415887,4.15153090379149,5.7755289785419,24.5994987852975,37.0251389989187,50.40546556496,75.2215034626729,73.1026172598041,120.697951776841,116.156360141633,152.413001061045,76,76,,,114.697951776841,120.697951776841,6.0
105,41.5,1.5,2.20311240319253,2.93629287645732,4.50929688731062,10.4320259696826,23.294962829942,34.3550041630877,39.2542974708345,45.2903330043643,76.3360239859577,112.468345045942,137.15737831406,76,76,,,70.3360239859577,76.3360239859577,6.0
106,42.5,1.5,1.70067025767709,3.0532350450716,5.82205534216209,11.2110013635855,21.1712786541246,32.7358044684375,44.2205352055679,44.0172840491492,58.6090295079616,62.3091539227561,70.7165774730633,76,76,,,52.6090295079616,58.6090295079616,6.0
107,43.5,1.5,0.120932779066788,0.218284337850445,0.43589573976739,1.28284693180359,2.70004388310331,3.92645392456932,4.59761140708431,5.57052292688922,8.79890221063634,13.7396496716841,18.3871356054597,76,76,,,2.7989022106363404,8.79890221063634,6.0
108,44.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76,76,,,-6.0,0.0,6.0
109,45.5,1.5,0.599019598529196,1.34233139904959,1.80310326114608,5.28150070022267,11.7163903579292,17.5868125935702,25.9517485957589,34.5955972674564,41.5068189010665,47.3658827844297,51.9080957690739,76,76,,,35.5068189010665,41.5068189010665,6.0
110,46.5,1.5,0.585313476014801,1.25685362617042,1.92701053507558,5.58279720518519,8.94799141043941,14.9514010508906,22.3473635039656,30.5551144956925,36.7743432298158,43.3119001272213,48.8575569520528,76,76,,,30.7743432298158,36.7743432298158,6.0
111,47.5,1.5,0.563202770329017,1.38981406012786,2.72002855636773,6.30919090969925,13.439770122727,19.2864199143286,28.2962738004197,33.309871528809,43.9927676454026,50.321439133533,59.7422966252715,76,76,,,37.9927676454026,43.9927676454026,6.0
